segment,channel,customer_count,avg_cltv,avg_spend
At-Risk,Social,181,529.85,886.85
At-Risk,Search,55,550.23,873.24
At-Risk,Offline,50,515.58,854.64
At-Risk,Other,65,487.41,764.66
Lost,Social,147,192.83,402.61
Lost,Search,55,185.6,412.15
Lost,Offline,46,198.93,446.3
Lost,Other,32,148.75,301.81
Promising,Social,75,698.51,1101.23
Promising,Search,26,765.22,1305.54
Promising,Offline,25,876.72,1398.8
Promising,Other,22,833.46,1319.0
Champions,Social,60,4513.53,6969.33
Champions,Search,21,4415.63,6879.52
Champions,Offline,18,3912.4,6977.11
Champions,Other,13,4369.65,6678.15
Hibernating,Social,146,354.41,511.07
Hibernating,Search,54,387.62,493.44
Hibernating,Offline,44,413.88,571.89
Hibernating,Other,62,306.48,425.26
